Value,_name,_oid,_valueType
8081,oneU1550AlarmDEVICEADDRESS.1,.1.3.6.1.4.1.3222.4.6.2.1.2.1,Integer
0,oneU1550AlarmSUBID.1,.1.3.6.1.4.1.3222.4.6.2.1.3.1,Integer
0,oneU1550AlarmLaserIM.1,.1.3.6.1.4.1.3222.4.6.2.1.4.1,Integer
0,oneU1550AlarmLaserBias.1,.1.3.6.1.4.1.3222.4.6.2.1.5.1,Integer
0,oneU1550AlarmLaserTemp.1,.1.3.6.1.4.1.3222.4.6.2.1.6.1,Integer
1,oneU1550AlarmRFModLvL.1,.1.3.6.1.4.1.3222.4.6.2.1.7.1,Integer
0,oneU1550Alarm24VDCVoltage.1,.1.3.6.1.4.1.3222.4.6.2.1.8.1,Integer
0,oneU1550Alarm12VDCVoltage.1,.1.3.6.1.4.1.3222.4.6.2.1.9.1,Integer
0,oneU1550Alarm5VDCVoltage.1,.1.3.6.1.4.1.3222.4.6.2.1.10.1,Integer
0,oneU1550AlarmM5VDCVoltage.1,.1.3.6.1.4.1.3222.4.6.2.1.11.1,Integer
0,oneU1550AlarmCSOSystem.1,.1.3.6.1.4.1.3222.4.6.2.1.12.1,Integer
0,oneU1550AlarmTxOptPower.1,.1.3.6.1.4.1.3222.4.6.2.1.13.1,Integer
0,oneU1550AlarmSBS1Power.1,.1.3.6.1.4.1.3222.4.6.2.1.14.1,Integer
0,oneU1550AlarmSBS2Power.1,.1.3.6.1.4.1.3222.4.6.2.1.15.1,Integer
0,oneU1550AlarmCOMMFail.1,.1.3.6.1.4.1.3222.4.6.2.1.16.1,Integer
2,oneU1550AlarmPowerSupply.1,.1.3.6.1.4.1.3222.4.6.2.1.17.1,Integer
10.100.0.50,.1.3.6.1.4.1.33826.3.1.1.0,.1.3.6.1.4.1.33826.3.1.1.0,IpAddress
16,.1.3.6.1.4.1.33826.3.1.2.0,.1.3.6.1.4.1.33826.3.1.2.0,Integer
10.100.0.1,.1.3.6.1.4.1.33826.3.1.3.0,.1.3.6.1.4.1.33826.3.1.3.0,IpAddress
192.168.0.1,.1.3.6.1.4.1.33826.3.1.4.0,.1.3.6.1.4.1.33826.3.1.4.0,IpAddress
00-0F-32-DC-40-5B,.1.3.6.1.4.1.33826.3.1.5.0,.1.3.6.1.4.1.33826.3.1.5.0,OctetString
1,.1.3.6.1.4.1.33826.3.2.1.0,.1.3.6.1.4.1.33826.3.2.1.0,Integer
1,.1.3.6.1.4.1.33826.3.2.2.0,.1.3.6.1.4.1.33826.3.2.2.0,Integer
1,.1.3.6.1.4.1.33826.3.3.1.1.1.1,.1.3.6.1.4.1.33826.3.3.1.1.1.1,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.1.2,.1.3.6.1.4.1.33826.3.3.1.1.1.2,Integer
3,.1.3.6.1.4.1.33826.3.3.1.1.1.3,.1.3.6.1.4.1.33826.3.3.1.1.1.3,Integer
4,.1.3.6.1.4.1.33826.3.3.1.1.1.4,.1.3.6.1.4.1.33826.3.3.1.1.1.4,Integer
5,.1.3.6.1.4.1.33826.3.3.1.1.1.5,.1.3.6.1.4.1.33826.3.3.1.1.1.5,Integer
6,.1.3.6.1.4.1.33826.3.3.1.1.1.6,.1.3.6.1.4.1.33826.3.3.1.1.1.6,Integer
7,.1.3.6.1.4.1.33826.3.3.1.1.1.7,.1.3.6.1.4.1.33826.3.3.1.1.1.7,Integer
8,.1.3.6.1.4.1.33826.3.3.1.1.1.8,.1.3.6.1.4.1.33826.3.3.1.1.1.8,Integer
192.168.0.255,.1.3.6.1.4.1.33826.3.3.1.1.2.1,.1.3.6.1.4.1.33826.3.3.1.1.2.1,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.2,.1.3.6.1.4.1.33826.3.3.1.1.2.2,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.3,.1.3.6.1.4.1.33826.3.3.1.1.2.3,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.4,.1.3.6.1.4.1.33826.3.3.1.1.2.4,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.5,.1.3.6.1.4.1.33826.3.3.1.1.2.5,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.6,.1.3.6.1.4.1.33826.3.3.1.1.2.6,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.7,.1.3.6.1.4.1.33826.3.3.1.1.2.7,IpAddress
0.0.0.0,.1.3.6.1.4.1.33826.3.3.1.1.2.8,.1.3.6.1.4.1.33826.3.3.1.1.2.8,IpAddress
public,.1.3.6.1.4.1.33826.3.3.1.1.3.1,.1.3.6.1.4.1.33826.3.3.1.1.3.1,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.2,.1.3.6.1.4.1.33826.3.3.1.1.3.2,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.3,.1.3.6.1.4.1.33826.3.3.1.1.3.3,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.4,.1.3.6.1.4.1.33826.3.3.1.1.3.4,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.5,.1.3.6.1.4.1.33826.3.3.1.1.3.5,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.6,.1.3.6.1.4.1.33826.3.3.1.1.3.6,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.7,.1.3.6.1.4.1.33826.3.3.1.1.3.7,OctetString
public,.1.3.6.1.4.1.33826.3.3.1.1.3.8,.1.3.6.1.4.1.33826.3.3.1.1.3.8,OctetString
2,.1.3.6.1.4.1.33826.3.3.1.1.4.1,.1.3.6.1.4.1.33826.3.3.1.1.4.1,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.2,.1.3.6.1.4.1.33826.3.3.1.1.4.2,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.3,.1.3.6.1.4.1.33826.3.3.1.1.4.3,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.4,.1.3.6.1.4.1.33826.3.3.1.1.4.4,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.5,.1.3.6.1.4.1.33826.3.3.1.1.4.5,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.6,.1.3.6.1.4.1.33826.3.3.1.1.4.6,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.7,.1.3.6.1.4.1.33826.3.3.1.1.4.7,Integer
2,.1.3.6.1.4.1.33826.3.3.1.1.4.8,.1.3.6.1.4.1.33826.3.3.1.1.4.8,Integer
1F91,.1.3.6.1.4.1.33826.3.4.1.0,.1.3.6.1.4.1.33826.3.4.1.0,OctetString
0,.1.3.6.1.4.1.33826.3.4.2.0,.1.3.6.1.4.1.33826.3.4.2.0,Integer
5,.1.3.6.1.4.1.33826.3.4.3.0,.1.3.6.1.4.1.33826.3.4.3.0,Integer
